Full Name,Distance,Stroke,pool,Strategy,Final time in seconds,"add splits per 50 with (;) between them
 (eg. ""33.46; 35.67; 36.88; 33.84"")
 do not put words in this question",notes,athlete age,Country,IM stroke labels
Andriy Govorov,50,Butterfly,LCM 50,,22.27,,"World Record, Rome 2018",26,Ukraine,
Caeleb Dressel,100,Butterfly,LCM 50,positive,49.45,23.00; 26.45,World Championships Gwangju 2019 – WR,22,USA,
Maxime Grousset,100,Butterfly,LCM 50,positive,49.62,22.80; 26.82,Paris 2024 Olympics,25,France,
Kristóf Milák,100,Butterfly,LCM 50,positive,49.68,23.65; 26.03,Hungarian Nationals 2021,21,Hungary,
Michael Phelps,100,Butterfly,LCM 50,positive,49.82,23.36; 26.46,World Championships Rome 2009,24,USA,
Noe Ponti,100,Butterfly,LCM 50,positive,49.83,23.15; 26.68,Paris 2024 Olympics,23,Switzerland,
Sarah Sjöström,50,Butterfly,LCM 50,,24.43,,"World Record, World Championships Kazan 2015",22,Sweden,
Gretchen Walsh,100,Butterfly,LCM 50,positive,54.6,25.32; 29.28,US Olympic Trials 2024 – WR,21,USA,
Sarah Sjöström,100,Butterfly,LCM 50,positive,55.48,26.01; 29.47,World Championships Kazan 2015,22,Sweden,
Torri Huske,100,Butterfly,LCM 50,positive,55.52,25.93; 29.59,World Championships Budapest 2022,20,USA,
Margaret MacNeil,100,Butterfly,LCM 50,positive,55.59,26.50; 29.09,Tokyo 2020 Olympics,21,Canada,
Zhang Yufei,100,Butterfly,LCM 50,positive,55.62,25.76; 29.86,Chinese National Games 2021,23,China,
Kristóf Milák,200,Butterfly,LCM 50,positive,110.34,24.19; 27.70; 28.62; 29.83,"World Record, World Championships Gwangju 2019",19,Hungary,
Léon Marchand,200,Butterfly,LCM 50,even-to-home,111.21,24.96; 28.50; 28.78; 28.97,Olympic Games Paris 2024,22,France,
Michael Phelps,200,Butterfly,LCM 50,positive,111.51,24.76; 28.12; 29.05; 29.58,World Championships Rome 2009,24,USA,
Luca Urlando,200,Butterfly,LCM 50,positive,111.87,25.01; 28.34; 28.52; 30.00,US Nationals 2019,17,USA,
Daiya Seto,200,Butterfly,LCM 50,positive,112.53,24.72; 28.64; 28.98; 30.19,Japanese Nationals 2018,24,Japan,
Liu Zige,200,Butterfly,LCM 50,front-half then hold,121.81,27.40; 30.60; 32.00; 31.81,"World Record, National Games Jinan 2009",20,China,
Summer McIntosh,200,Butterfly,LCM 50,positive,121.99,27.22; 31.19; 31.59; 31.99,Canadian Trials 2023,16,Canada,
Jessicah Schipper,200,Butterfly,LCM 50,even-to-home,123.41,28.21; 32.04; 31.98; 31.18,World Championships Rome 2009,22,Australia,
Regan Smith,200,Butterfly,LCM 50,positive,123.84,27.60; 31.76; 32.14; 32.34,US Nationals 2022,20,USA,
Zhang Yufei,200,Butterfly,LCM 50,front-half then hold,123.86,26.92; 31.37; 32.74; 32.83,Tokyo 2020 Olympics,23,China,